name,rating,r_count,applife_years,annual_earnings,adjusted_purchase_price,annual_profit,applife_profit,,,
Head Soccer,5,481564,11,480000,10000,38000,5280000,,,
Sniper 3D Assassin: Shoot to Kill Gun Game,5,386521,11,480000,10000,38000,5280000,,,
Geometry Dash Lite,5,370370,11,480000,10000,38000,5280000,,,
CSR Racing 2,5,257100,11,480000,10000,38000,5280000,,,
Pictoword: Fun 2 Pics Guess What's the Word Trivia,5,186089,11,480000,10000,38000,5280000,,,
PewDiePie's Tuber Simulator,4.9,1499466,10,108000,10000,98000,1080000,,,9.8
Domino's Pizza USA,4.9,1032935,10,108000,10000,98000,1080000,,,
"Egg, Inc.",4.9,580160,10,108000,10000,98000,1080000,,,
The Guardian,4.9,247992,10,108000,10000,98000,1080000,,,
ASOS,4.9,181823,10,108000,10000,98000,1080000,,,
ASOS,4.9,181798,10,108000,10000,98000,1080000,,,
Geometry Dash Lite,4.8,6181640,10,108000,10000,98000,1080000,,,
Fernanfloo,4.7,526595,10,108000,10000,98000,1080000,,,
Clash of Clans,4.6,44893888,10,108000,10000,98000,1080000,,,
Clash Royale,4.6,23136735,10,108000,10000,98000,1080000,,,
Shadow Fight 2,4.6,10981850,10,108000,10000,98000,1080000,,,
Score! Hero,4.6,5419676,10,108000,10000,98000,1080000,,,
Township,4.6,4451317,10,108000,10000,98000,1080000,,,
Pinterest,4.6,4300936,10,108000,10000,98000,1080000,,,
