"name","rating","price","r_count","table_name","applife_years","annual_earnings","adjusted_purchase_price","annual_profit","applife_profit"
"Geometry Dash Lite","5.0000000000000000","0.00",6181640,"bothtables",11,108000,"10000","98000",1188000
"PewDiePie's Tuber Simulator","5.0000000000000000","0.00",1499466,"bothtables",11,108000,"10000","98000",1188000
"Domino's Pizza USA","5.0000000000000000","0.00",1032935,"bothtables",11,108000,"10000","98000",1188000
"Egg, Inc.","5.0000000000000000","0.00",580160,"bothtables",11,108000,"10000","98000",1188000
"Cytus","5.0000000000000000","1.99",541732,"bothtables",11,108000,"10000","98000",1188000
"The Guardian","5.0000000000000000","0.00",247992,"bothtables",11,108000,"10000","98000",1188000
"ASOS","5.0000000000000000","0.00",181823,"bothtables",11,108000,"10000","98000",1188000
"The EO Bar","5.0000000000000000","6.99",416,"bothtables",11,108000,"69900.00","38100.00",1188000
"WhatsApp Messenger","4.5000000000000000","0.00",69119316,"bothtables",10,108000,"10000","98000",1080000
"Instagram","4.5000000000000000","0.00",66577446,"bothtables",10,108000,"10000","98000",1080000
